,OBJECTID,HUC8,VALUE_0,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_45,VALUE_46,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,TotalPixels,V_0_PERCENT,V_11_PERCENT,V_21_PERCENT,V_22_PERCENT,V_23_PERCENT,V_24_PERCENT,V_31_PERCENT,V_41_PERCENT,V_42_PERCENT,V_43_PERCENT,V_45_PERCENT,V_46_PERCENT,V_52_PERCENT,V_71_PERCENT,V_81_PERCENT,V_82_PERCENT,V_90_PERCENT,V_95_PERCENT,TotalPercents
10,11,2080103,0.0,20412000.0,205756199.99999997,36193500.0,10403999.999999998,2674800.0,3355200.0,1528119000.0000002,115688700.0,633458699.9999999,35334000.00000001,43146000.0,3611700.0,1408499.9999999998,1113079500.0,222255000.00000003,50038200.0,7154099.999999999,4032089100.0,0.0,0.0050623881302623,0.05102967590671545,0.008976364138381763,0.0025803001228321067,0.0006633781976692926,0.0008321244686780359,0.3789893928683273,0.02869199988660965,0.15710434077461233,0.008763199206088975,0.010700656391744915,0.0008957391343360939,0.0003493226377363535,0.2760552835997597,0.055121549769324305,0.012409993618444592,0.0017742911484768527,1.0
11,12,2080105,0.0,34747200.0,98830800.0,21063600.0,6497100.000000001,1395900.0000000002,3635100.0,373210200.00000006,421774200.0,560455199.9999999,128294100.0,54627300.0,34128000.0,2215800.0,73428300.0,283947300.0,240790500.0,20290500.0,2359331100.0,0.0,0.014727564096450896,0.04188933041233594,0.008927784658965416,0.0027537889870565438,0.000591650743721388,0.0015407333036045682,0.15818474990644596,0.17876855011998952,0.23754834580021425,0.05437731906301748,0.023153723527825323,0.014465116829087701,0.0009391644945467806,0.03112250756157116,0.12035076382454332,0.1020587996318109,0.008600107038812824,0.9999999999999999
12,13,2080206,0.0,541026000.0,379717199.99999994,241347599.99999997,132196499.99999999,52416899.99999999,9302400.0,273247200.00000006,461839500.0,590960700.0,58263299.99999999,38249100.00000001,32626800.000000004,5063400.0,24190200.0,373625100.0,445009500.0,74353500.0,3733434900.0,0.0,0.14491373614148192,0.10170719730508758,0.06464491988329567,0.03540881347629765,0.014039859112047191,0.0024916464995813907,0.07318922314675959,0.12370364352676941,0.1582887383411989,0.01560581650961692,0.010245015923540012,0.00873908367867885,0.0013562309603952114,0.006479341584341005,0.10007542919792173,0.11919573045186886,0.019915574261118094,0.9999999999999999
13,14,2080110,0.0,903518099.9999999,76765500.0,40769100.0,18487800.0,8139600.0,2610900.0,14886900.0,109235700.0,59712300.0,4103100.0,885600.0,7078499.999999999,1716300.0,8298899.999999999,393650100.0,495103499.99999994,370360800.00000006,2515322700.0,0.0,0.35920563989662235,0.03051914571438488,0.016208298044620675,0.007350070827890195,0.003236006258759562,0.001037998027052354,0.005918485131152357,0.04342810566612387,0.023739419200566193,0.0016312419873601108,0.0003520820608822876,0.002814151838251211,0.0006823378964456528,0.0032993380928816804,0.1565008338691493,0.19683498264457278,0.1472418628432845,1.0
14,15,2070001,0.0,13910400.0,108910800.0,17183700.0,5382900.0,1419299.9999999998,10586700.0,2401165799.9999995,98676000.0,571403700.0,13968000.0,48620700.0,134100.0,1090800.0,482223599.99999994,57411900.00000001,353700.0,342900.0,3832784999.9999995,0.0,0.0036293191504349976,0.0284155777065502,0.004483345661183709,0.0014044356779730667,0.00037030514364880886,0.0027621429326194925,0.6264806922381505,0.025745247907200643,0.14908316015638762,0.0036443473870827613,0.012685475444096135,3.498761344557548e-05,0.0002845972315170301,0.12581545795028942,0.014979160062461113,9.22827656651756e-05,8.946497129371985e-05,1.0000000000000002
15,16,2040103,0.0,54265500.0,105675299.99999999,15893100.0,4098600.0,1422899.9999999998,3087900.0,826143300.0,27839700.0,209378700.0,7510499.999999999,7496099.999999999,616500.0,3777300.0,178072200.0,1251900.0000000002,93096000.00000001,9046800.0,1548672300.0,0.0,0.03504001459831108,0.06823606259374561,0.010262403479419114,0.002646525026630876,0.0009187870151742237,0.0019939014858081985,0.5334526226109939,0.017976495091957156,0.13519884096848636,0.004849637976994874,0.004840339689681283,0.00039808292561312035,0.0024390569909463738,0.11498378320578213,0.0008083698533253292,0.06011342748236668,0.005841649004763629,0.9999999999999999
16,17,2040106,0.0,47694600.0,358308900.00000006,201476700.0,96287400.0,38015100.00000001,23463000.0,1543237199.9999998,96494399.99999999,354599100.0,15020999.999999998,15555600.0,6015600.0,3748500.0,226056600.00000003,344616300.0,149993999.99999997,6157800.0,3526741800.0,0.0,0.013523700544224701,0.10159771265364537,0.05712828197403053,0.027302083753338563,0.010779099280814946,0.006652882839339132,0.43758156607892296,0.02736077815506652,0.10054580689745986,0.004259172021042198,0.004410756693330938,0.0017057103528248085,0.001062879057378116,0.06409785938964968,0.09771520557586609,0.0425304738781841,0.0017460308548814091,0.9999999999999999
17,18,2050106,0.0,65460600.00000001,256577400.0,34300800.0,11353500.0,5265900.0,14880600.000000002,2024615699.9999998,122395500.00000001,903562200.0,56346300.00000001,22656600.0,5826600.0,5244300.0,1385154000.0,104459399.99999999,129695400.0,43595100.0,5191389900.0,0.0,0.012609455514023328,0.04942364278976619,0.006607247897138298,0.002186986571746422,0.0010143526303042659,0.002866399998197015,0.38999492216910925,0.023576634072505327,0.1740501517714938,0.010853798517425942,0.004364264760772447,0.001122358388068675,0.0010101918948526676,0.266817562672378,0.02012166337188428,0.024982789291168442,0.00839757768916567,1.0
18,19,2050107,0.0,76227300.0,303129900.0,160953299.99999997,119260800.0,46048500.0,44808300.0,2187433799.9999995,77569200.00000001,533773800.0,49044600.0,30110400.0,9646199.999999998,6229800.0,516868200.0,317417399.99999994,80536500.0,13697100.0,4572755100.0,0.0,0.016669884639131452,0.06629042959243542,0.035198320592327366,0.026080731942106413,0.010070187226952083,0.00979897217762657,0.4783623334650044,0.01696334010977321,0.11672914650513429,0.010725393975286365,0.006584739252710034,0.0021094941209512832,0.0013623734190357144,0.1130321193015563,0.06941491356053596,0.01761224868569935,0.0029953714337336806,0.9999999999999998
19,20,2050201,0.0,27405000.0,189021600.0,41853600.0,9235800.0,2599200.0,84410100.0,2135143800.0000002,260352000.0,824242500.0,46575000.0,46126800.0,2117700.0,27895500.0,337065300.0,76603500.00000001,20312100.0,5094900.0,4136054400.0000005,0.0,0.006625879969083578,0.04570094629316287,0.01011920926378531,0.00223299770912104,0.0006284250033075,0.020408363100833486,0.5162272043617221,0.06294694769972077,0.19928231601595953,0.011260731967161746,0.011152367821854567,0.0005120097066421563,0.00674447125260248,0.08149440684339161,0.018520912104057433,0.004910984729794656,0.0012318261577990849,0.9999999999999999
20,21,2050202,0.0,5125499.999999999,73278900.0,5379300.000000001,1661400.0,468900.0,4317300.0,1714025699.9999998,77655600.0,605214900.0000001,73161900.0,21124800.000000004,3993300.0,2387700.0,67472999.99999999,1862100.0,14847300.0,5973299.999999999,2677950900.0,0.0,0.001913963396416267,0.02736379520625266,0.002008737352129944,0.000620399724281726,0.00017509656357030294,0.0016121654807039218,0.6400512048223138,0.02899814182552787,0.22599925189069006,0.02732010508482437,0.007888419462806433,0.001491177452133271,0.0008916145549942682,0.02519575694983802,0.0006953450864241014,0.005544276409250072,0.002230548737842803,0.9999999999999999
21,22,2050203,0.0,15572700.0,68963400.0,5755500.0,1656900.0,640800.0,2844000.0,1219643100.0000002,39456899.99999999,580886100.0000001,14978700.0,8473500.000000002,2537100.0,1395900.0000000002,42065100.0,17864999.999999996,5215500.0,3266100.0,2031216300.0000005,0.0,0.0076666871962380355,0.03395177559376615,0.0028335239334186116,0.0008157181487761789,0.0003154760032203364,0.0014001463064273359,0.6004496419214438,0.019425257664582536,0.2859794400035092,0.007374251575275364,0.004171638441459927,0.0012490545689299555,0.000687223709262278,0.02070931589117318,0.008795222842589434,0.0025676733689070923,0.001607952831020507,1.0
22,23,2050204,0.0,10554300.0,111687300.0,53805599.99999999,17075700.0,5859899.999999999,7587900.000000001,1050095699.9999999,44562599.99999999,329798700.00000006,12839399.999999998,5885100.0,19800.0,1045800.0,160268400.00000003,187572600.0,2713500.0,1316700.0000000002,2002689000.0,0.0,0.005270064398416329,0.055768669024496564,0.02686667775176275,0.008526386273655071,0.0029260159715262823,0.0037888558832649506,0.524342871009927,0.022251383015535607,0.1646779405089857,0.006411080302533243,0.0029385990535724716,9.886707322005564e-06,0.0005221979049168393,0.08002660423061196,0.09366037362765761,0.0013549282989021262,0.0006574660369133701,1.0
23,24,2050205,0.0,7757100.000000001,83025900.00000001,7304400.0,2442599.9999999995,946800.0,3754800.0,1390246200.0,45431100.00000001,697642200.0,38052000.0,16497900.0,5208300.0,1906200.0,193939200.0,24525900.0,13469400.000000002,7854300.000000001,2540004300.0,0.0,0.0030539712078440184,0.03268730686794507,0.002875743163111968,0.0009616519153136865,0.00037275527446941725,0.0014782652139604645,0.5473400970226704,0.017886229562682238,0.2746618184858978,0.014981077000538936,0.0064952252246187146,0.002050508339690606,0.0007504711704621917,0.076353886487515,0.009655849795214914,0.005302904408468916,0.003092238859595632,1.0
24,25,2050206,0.0,39089700.0,245295000.00000003,72792899.99999999,25470000.000000004,10287000.0,10770300.000000002,1870566300.0,90641699.99999999,1002675599.9999999,103878900.0,20163600.000000004,9628200.0,4546800.0,581253299.9999999,533382300.00000006,50645699.99999999,15838200.000000002,4686925500.0,0.0,0.008340158169785289,0.05233601430191285,0.015531055486160381,0.005434266023643859,0.0021948289982420244,0.0022979456362171753,0.39910305807079716,0.019339266220467978,0.21393034730336546,0.022163548364487553,0.004302095264795654,0.002054267771058021,0.0009701028958109106,0.12401590338911934,0.1138021715941506,0.010805740351537483,0.00337923015844822,0.9999999999999999
25,26,2050301,0.0,74268000.0,194126400.0,71576100.0,24168600.0,8876700.000000002,29774700.000000004,1818611100.0,75094200.0,323425799.99999994,23671800.0,15543000.000000002,47700.0,1457100.0000000002,355212000.0,716673600.0,14050800.0,4071600.0,3750649200.0,0.0,0.0198013719864817,0.05175807964125251,0.019083656237432176,0.006443844441650261,0.0023667102751171723,0.007938545678972057,0.4848790177444481,0.020021653851285265,0.08623195152455206,0.006311387372618053,0.0041440825764243695,1.2717798294759212e-05,0.0003884927441361352,0.09470680435802954,0.19107988025113093,0.0037462314524109586,0.001085572065763975,1.0
26,27,2050303,0.0,41664600.00000001,112632300.00000001,32631299.999999996,8382600.0,2454300.0,11272500.0,1488011400.0000002,29939400.0,176804099.99999997,18088199.999999996,28984500.0,92700.0,1403100.0000000002,319438799.99999994,218354400.0,822600.0,1098000.0,2492074800.0,0.0,0.01671884006049899,0.04519619555560692,0.013094029119832196,0.0033637032082664614,0.0009848420280161735,0.004523339347599037,0.5970974065465452,0.012013844849279805,0.07094654622726411,0.007258289357927778,0.01163067015484447,3.7197920383449165e-05,0.0005630248337650219,0.12818186677221724,0.08761952089078547,0.00033008640029584985,0.00044059672687192216,1.0000000000000002
27,28,2050304,0.0,27175500.0,166453200.0,50505300.0,12946500.0,4128300.0,3038400.0,2267394300.0,72930599.99999999,286627500.0,16215300.0,7529400.0,96300.0,667800.0,401170500.0,421760700.0,13906800.0,4173300.0,3756719700.0,0.0,0.00723383754183204,0.0443081233875394,0.01344398944643115,0.0034462246411410464,0.001098910839688146,0.0008087907117478049,0.6035569542225895,0.019413372789031873,0.07629728137555751,0.004316345454253614,0.0020042485469437604,2.5634065804803056e-05,0.00017776146567442867,0.10678744544076578,0.11226834410882451,0.003701846587063709,0.001110889375110951,1.0
