36.74004,-76.5843,60,0
36.740257,-76.579794,504,1
36.74097,-76.5779,70,2
36.74225,-76.57073,60,3
36.74271,-76.58527,60,4
36.743688,-76.573843,72,5
36.74747,-76.57391,70,6
36.76229,-76.56062,60,7
36.76987,-76.29605,5273,8
36.7783,-76.5472,72,9
36.77901,-76.54676,60,10
36.78983,-76.56788,60,11
36.79084,-76.56232,60,12
36.8056,-76.5589,72,13
36.8134,-76.2903,9157,14
36.82917,-76.39583,4783,15
36.83224,-76.56174,60,16
36.83611,-76.24444,6171,17
36.8375,-76.5483,72,18
36.83813,-76.54807,60,19
36.8407,-76.28911,6654,20
36.8432,-76.35939,4047,21
36.84833,-76.29806,9765,22
36.85138,-76.12708,33,23
36.8553,-76.0627,245,24
36.85555,-76.06388,27,25
36.85599899,-76.29419708,60,26
36.8567,-76.5483,72,27
36.85732,-76.12025,470,28
36.85862,-76.00945,29,29
36.85904,-76.0083,255,30
36.86556,-76.32899,5921,31
36.87333,-76.1075,33,32
36.87361,-76.10696,265,33
36.87598,-76.48317,70,34
36.87723,-76.00868,905,35
36.88,-76.01221,27,36
36.88237,-76.33883,8891,37
36.88548,-76.49579,60,38
36.8856,-76.4932,72,39
36.88651,-76.0746,275,40
36.88667,-76.07362,29,41
36.8894,-76.28144,4391,42
36.89079,-76.47109,50,43
36.893,-76.03778,27,44
36.89796,-76.08519,323,45
36.89964,-76.04625,599,46
36.9021,-76.0297,211,47
36.90444,-76.06928,25,48
36.90456,-76.33836,10596,49
36.90495,-76.45725,50,50
36.9056,-76.4569,72,51
36.90738,-76.09303,29,52
36.9082,-76.3146,4328,53
36.91327,-76.10056,319,54
36.91438,-76.07025,25,55
36.92375,-76.05175,277,56
36.92799,-76.1794,1236,57
36.92871,-76.20969,289,58
36.94737,-76.03494,13123,59
36.95486,-76.39275,12169,60
36.95707,-76.25215,305,61
36.99044,-76.47544,6342,62
36.9952984,-76.5824258,7,63
36.99542,-76.16772,9460,64
36.9957,-76.02048,16658,65
36.99667,-76.37698,1468,66
36.997357,-76.378853,52,67
36.99903,-76.31328,9285,68
37.00755,-76.29974,307,69
37.009306,-76.307083,36,70
37.0142,-76.2755,14,71
37.02014,-76.34401,281,72
37.02781,-76.4644,11,73
37.02821,-76.46536,162,74
37.0319,-76.38058,74,75
37.042988,-76.366555,48,76
37.04673,-76.49877,25,77
37.04684,-76.4991,24,78
37.04883,-76.5045,1304,79
