,Station,Latitude,Longitude
21254,CB7.1N,37.77513,-75.97466
21437,CB7.1S,37.58124,-76.05799
21621,CB7.2,37.41153,-76.07966
21815,CB7.2E,37.41153,-76.02466
22010,CB7.3,37.11681,-76.12521
22207,CB7.3E,37.22875,-76.05383
22413,CB7.4,36.9957,-76.02048
22608,CB7.4N,37.06237,-75.99937
22804,CB8.1,36.99542,-76.16771999999997
23009,CB8.1E,36.94737,-76.03494
23201,CCM0069,38.44167,-75.90556
23303,CHE001.58,37.11203,-75.97255
23331,CHE004.58,37.17631,-75.99165
23358,CHE006.36,36.92375,-76.05175
23367,CHE009.07,36.91327,-76.10056
23376,CHE018.19,37.17682,-76.373
23403,CHE018.46,37.0837,-76.2715
23412,CHE019.38,37.21722000000001,-76.39222
23822,CHE019.82,37.32776,-76.02228000000002
23849,CHE027.57,37.3092,-76.2723
23876,CHE027.76,37.44776,-75.98625
23903,CHE034.01,37.52291,-75.95170999999998
23930,CHE0348,39.2403,-75.9586
23964,CHE035.10,37.00755,-76.29974
23973,CHE035.60,37.42415,-76.24498
24000,CHE038.14,36.95707,-76.25215
24009,CHE041.32,37.50662,-76.27492
24036,CHE047.87,37.71793,-75.86655999999998
24063,CHE055.63,37.69849,-76.29126
24090,CHE056.54,37.64549,-76.29562
24117,CHE061.94,37.77571,-76.27798
24144,CHE063.58,37.85352,-76.24205
24171,CHE064.25,37.84436,-75.7606
24198,CHE065.67,37.86394,-75.73718000000002
24225,CHE066.00,37.877,-75.80904
24252,CHK001.47,37.25432,-76.87118000000002
24273,CHK006.14,37.3123,-76.87671999999998
24294,CHK008.30,37.3425,-76.8727
24315,CHK015.12,37.37323,-76.89936999999998
24383,CHK023.96,37.40595,-76.93758000000003
24404,CHO0367,38.7575,-75.9967
24425,CHO0417,38.7978,-75.9316
24494,CHO0490,38.8506,-75.8497
24515,CJB0005,38.97345,-77.14883
24687,COA000.63,37.99002,-76.46122
24708,COA004.28,37.955,-76.48378000000002
24729,COC001.57,37.83912,-76.2799
24756,CON0005,39.60324,-77.8216
24929,CON0180,39.71605,-77.82505
25181,COR0056,39.0558,-76.0718
25258,CRR000.79,37.6573,-76.48955
25279,CRR003.38,37.68842,-76.47442
25300,CRR004.02,37.69735,-76.46817
25391,CRS001.80,37.30396,-76.01815
25476,CRS003.83,37.32686,-75.98868
25503,CSX000.55,37.76188,-75.77816
25530,CTM003.69,37.72887,-76.42558000000002
25551,CTO004.91,37.74677,-76.50003000000002
25572,CUR0007,39.20755,-76.57975
25593,CVA0046,39.25475,-77.57636
25658,DER0015,39.62348,-76.16476999999998
26111,DIV000.41,37.73362,-76.32336
26202,DRN010.53,37.63422,-76.6964
26234,DYE000.80,37.33817,-76.28293000000002
26322,DYM000.93,37.66996,-76.34563
26349,EBB01,36.83611,-76.24444
26503,EBE1,36.8407,-76.28911
26663,EBL000.00,36.88651,-76.0746
26672,EBL000.01,36.88667,-76.07361999999998
26681,EBL002.52,36.8553,-76.0627
26690,EBL002.54,36.85555,-76.06388000000003
26699,EE1.1,38.88,-76.2515
26882,EE2.1,38.6549,-76.2643
27072,EE2.2,38.52609,-76.30408
27259,EE3.0,38.28093,-76.01033000000002
27432,EE3.1,38.19685,-75.97321
27603,EE3.2,37.98139000000001,-75.92423000000002
27763,EE3.3,37.91455,-75.80148
27903,EE3.4,37.90846,-75.79132
28067,EE3.5,37.79652,-75.84438
28255,ELD01,36.86556,-76.32899
28411,ELE01,36.84833,-76.29805999999998
