,OBJECTID,HUC12,VALUE_0,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_45,VALUE_46,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,TotalPixels,V_0_PERCENT,V_11_PERCENT,V_21_PERCENT,V_22_PERCENT,V_23_PERCENT,V_24_PERCENT,V_31_PERCENT,V_41_PERCENT,V_42_PERCENT,V_43_PERCENT,V_45_PERCENT,V_46_PERCENT,V_52_PERCENT,V_71_PERCENT,V_81_PERCENT,V_82_PERCENT,V_90_PERCENT,V_95_PERCENT,TotalPercents
10,11,20402070401,0.0,540000.0,2265300.0,1141200.0,402300.0,97200.0,0.0,4308300.0,533700.0,1306800.0,16200.0,900.0,122400.0,5400.0,192600.0,32815800.0,10233900.0,24300.0,54006300.0,0.0,0.009998833469428566,0.041945106404252835,0.02113086806539237,0.007449130934724282,0.001799790024497142,0.0,0.07977402636359092,0.009882180412285233,0.02419717699601713,0.000299965004082857,1.6664722449047612e-05,0.002266402253070475,9.998833469428567e-05,0.003566250604096189,0.607629109937174,0.1894945589681204,0.0004499475061242855,0.9999999999999999
11,12,20402070402,0.0,660600.0,4968900.000000001,2881799.9999999995,1483200.0,653400.0,140400.0,3806100.0,663300.0,1668600.0,43200.0,1800.0,118800.0,8100.0,92700.0,26736300.0,6694200.0,21600.0,50643000.0,0.0,0.0130442509330016,0.0981162253421006,0.05690421183579171,0.029287364492624843,0.012902079260707303,0.0027723476097387596,0.07515550026657189,0.01309756531011196,0.03294828505420295,0.0008530300337657721,3.554291807357384e-05,0.0023458325928558733,0.00015994313133108228,0.0018304602807890527,0.527936733605829,0.1321841123156211,0.00042651501688288607,1.0
12,13,20402070502,0.0,454500.0,2643300.0,1166400.0,237600.0,31500.0,1800.0,4292100.0,1484100.0,4500900.0,130500.0,10800.0,264600.0,38700.0,88200.0,24384600.0,5460300.0,56700.0,45246600.0,0.0,0.01004495365397621,0.05841985917173887,0.02577873254564984,0.005251223296336078,0.0006961849067112225,3.9781994669212715e-05,0.09486016628873772,0.032800254604765884,0.09947487767036639,0.002884194613517922,0.00023869196801527628,0.005847953216374269,0.0008553128853880734,0.001949317738791423,0.5389266817838246,0.12067868082905676,0.0012531328320802004,0.9999999999999999
13,14,20402070602,0.0,6176700.000000001,3237300.0,2241000.0,513000.0,90900.0,219600.0,3489300.0,3990600.0,4799700.0,311400.0,42300.0,129600.0,15300.0,124200.0,37856700.00000001,13416300.0,4738500.000000001,81392400.0,0.0,0.07588792073952852,0.03977398381175638,0.027533283205803,0.006302799770003096,0.001116811889070724,0.002698040603299571,0.0428700959794772,0.0490291476845504,0.05896987925162546,0.003825910035826441,0.0005197045424388518,0.0015922862576849928,0.00018797823875447831,0.001525940996948118,0.46511345039586016,0.1648348003007652,0.058217966296607554,1.0000000000000002
14,15,20402070601,0.0,619200.0,4181400.0,2800800.0,1337400.0,546300.0,50400.0,4729499.999999999,7854300.000000001,11888999.999999998,702900.0,142200.0,282600.0,16200.0,77400.0,28095300.0,11406600.000000002,90000.0,74821500.0,0.0,0.00827569615685331,0.055885006315029774,0.03743309075599928,0.017874541408552356,0.007301377277921453,0.0006736031755578277,0.06321044084922113,0.10497383773380647,0.15889817766283754,0.009394358573404702,0.001900523245323871,0.0037769892343778194,0.00021651530642930174,0.0010344620196066638,0.375497684489084,0.15245083298249837,0.0012028628134961208,1.0
15,16,20402070302,0.0,338400.0,5018400.0,3187800.0,1185299.9999999998,453600.0,0.0,1675800.0,37800.0,269100.0,0.0,0.0,54000.0,900.0,223200.0,20194200.0,3916800.0,10800.0,36566100.0,0.0,0.00925447340569544,0.13724187156956855,0.08717910851854586,0.03241526988111939,0.012404932437421546,0.0,0.045829333727140716,0.0010337443697851288,0.007359275394422703,0.0,0.0,0.0014767776711216126,2.461296118536021e-05,0.0061040143739693326,0.5522656230771124,0.10711560707868764,0.0002953555342243225,0.9999999999999999
16,17,20402070303,0.0,204300.0,4222800.0,2395800.0000000005,1012500.0,318600.0,900.0,1398600.0,63900.0,254700.0,4500.0,0.0,16200.0,11700.0,171000.0,12203100.0,3159000.0,20700.0,25458300.0,0.0,0.00802488775762718,0.1658712482765935,0.09410683352776895,0.03977091950365892,0.012514582670484675,3.5351928447696824e-05,0.05493689680772086,0.0025099869197864745,0.010004595750698201,0.00017675964223848412,0.0,0.0006363347120585428,0.0004595750698200587,0.006716866405062396,0.4793367978223212,0.12408526885141584,0.0008130943542970269,1.0
17,18,20700110203,0.0,8088300.000000001,13335300.0,11554200.0,4186800.0,1005300.0,135900.0,20866500.0,594900.0,12234599.999999998,475200.0,1145700.0,343800.0,97200.0,603000.0,466200.0,5564699.999999999,1480500.0,82178100.0,0.0,0.09842403268023964,0.1622731603675432,0.14059950278723893,0.05094788027467172,0.012233186213845294,0.0016537252625699547,0.2539180146535391,0.00723915495734265,0.1488790809230196,0.0057825625075293785,0.013941670591069884,0.004183596359614058,0.0011827968765401001,0.007337721363720991,0.00567304427822011,0.06771512118192072,0.018015748721374673,1.0
18,19,20700110804,0.0,15104700.0,7693200.0,1197900.0000000002,601200.0,166500.0,139500.0,1753200.0,13760999.999999998,33348600.0,392400.0,942300.0,602100.0,109800.0,681300.0,42172200.0,9982800.0,585000.0,129233700.0,0.0,0.11687895649509378,0.05952936424477516,0.00926925407227372,0.004652037355581401,0.0012883636388960464,0.0010794398055615525,0.013566120911186478,0.10648151372281377,0.2580487906792114,0.0030363597111279796,0.0072914417833738416,0.004659001483359217,0.000849623588893609,0.005271844727807066,0.32632509941292404,0.07724610531154026,0.004526683055580704,1.0000000000000002
19,20,20402070101,0.0,790200.0,9963900.000000002,5698800.000000001,2735100.0,972900.0,7200.0,2532600.0000000005,23400.0,117000.0,1800.0,900.0,74700.0,28800.0,500400.0,55937700.0,11675700.0,1516500.0,92577600.0,0.0,0.00853554207497278,0.10762754705241875,0.061557007310623746,0.029543863742417173,0.010509021620780837,7.777259293824856e-05,0.027356509566028937,0.0002527609270493078,0.001263804635246539,1.944314823456214e-05,9.72157411728107e-06,0.0008068906517343288,0.00031109037175299425,0.005405195209208275,0.6042249961113704,0.1261179810234873,0.0163808523876186,1.0
